great	groß, großartig
drum	Trommel
dog	Hund
bird	Vogel
city	Stadt
pretty	hübsch
What about you?	Was ist mit dir? 
my partner	Mein Partner / Partnerin
Welcome to Bristol.	Willkommen in Bristol.
I can talk to you.	Ich kann mich mit dir unterhalten.
he's	er ist
she's	sie ist
She is from Bristol too.	Sie kommt auch aus Bristol.
new	neu
with	mit
his	sein / sein
her	ihr / ihre
twin brother	Zwillingsbruder
they are (they're)	sie sind
I can talk about all.	Ich kann über alles reden.
page	Seite (Buch- / Heftseite)
a great place	ein großartiger Ort / Platz
photo	Foto
kite	Drachen
full	voll
empty	leer
boring	langweilig
push	schieben / drücken
pull	ziehen
happy	glücklich
not happy	nicht glücklich
unhappy	unglücklich
sad	traurig
I think	ich denke, glaube,  meine
very nice	sehr nett
to take	nehmen
to help	helfen
in here	hier drin
thats right	das ist richtig
there	da, dort
let's be friends	lass uns Freunde sein
Who are you?	Wer bist du?
Where is my ball?	Wo ist mein Ball?
What is that?	Was ist das?
Park Road	Parkstraße
when	wenn
I close	ich schließe / ich mache zu
thing	Ding
I open	ich öffne / ich mache auf
I push	ich drücke
I pull	ich ziehe
I drop	ich lasse fallen
then	dann, danach
I laugh	ich lache
you look	du schaust, du guckst
but	aber, auch
Sophie is a girl, but Jack is a boy.	Sophie ist ein Mädchen aber Jack ist ein Junge.
You can't find me.	Du kannst mich nicht finden.
That's me.	Das bin ich.
You can take the baby.	Du kannst das Baby nehmen.
You can help me.	Du kannst mir helfen.
picture	Bild
at 7 Hamilton street	in der Hamilton Street Nr. 7
their father, their mother	ihr Vater, ihre Mutter
today	heute
the last day of the summer holidays	der letzte Tag der Sommerferien
Sorry, I'm late.	Entschuldigung, dass ich zu spät bin.
shopping list	Einkaufsliste
let's löook on the list	sehen wir uns die Liste an
you need	du brauchst / benötigst
me too	ich auch
pencil sharpener	Bleistiftspitzer
exercise	Übung, Aufgabe
exercise book	Schulheft, Übungsheft
for school	für die Schule
let's go	auf geht's (lass(t) uns gehen)
you two	ihr zwei
I can say...	ich kann sagen...
